id,tokens,pos_tags,chunk_tags,ner_tags
993,"['The' 'editor' 'was' 'prosecuted' 'following' 'a' 'May' '1995' 'article'
 'alleging' 'top-level' 'corruption' '.']",[12 21 38 40 39 12 22 11 21 39 16 21  7],[11 12 21 22 13 11 12 12 12 21 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
994,"['Sihanouk' 'promised' 'an' 'amnesty' 'to' 'Hen' 'Vipheak' ',' 'along'
 'with' 'fellow' 'KNP' 'member' 'and' 'journalist' 'Chan' 'Rattana' ','
 'who' 'was' 'released' 'after' 'serving' 'a' 'week' 'of' 'a' 'year-long'
 'jail' 'term' 'in' 'June' '.']","[22 38 12 21 35 22 22  6 15 15 21 22 21 10 21 22 22  6 44 38 40 15 39 12
 21 15 12 16 21 21 15 22  7]","[11 21 11 12 13 11 12  0 13 13 11 12 12  0 11 12 12  0 11 21 22 13 21 11
 12 13 11 12 12 12 13 11  0]",[1 0 0 0 0 1 2 0 0 0 0 3 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
995,"['Co-Premiers' 'Prince' 'Norodom' 'Ranariddh' 'and' 'Hun' 'Sen' 'agreed'
 'earlier' 'this' 'week' 'to' 'the' 'king' ""'s"" 'request' 'for' 'an'
 'amnesty' '.']",[24 22 22 22 10 22 22 38 31 12 21 35 12 21 27 21 15 12 21  7],[11 12 12 12  0 11 12 21 11 12 12 13 11 12 11 12 13 11 12  0],[0 0 1 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
996,['Far' 'East' 'Gold' '-' 'Moribund' 'market' 'seen' 'continuing' '.'],[22 22 22  8 22 21 40 39  7],[11 12 12  0 11 12 21 22  0],[5 6 0 0 0 0 0 0 0]
997,['Mishi' 'Saran'],[22 22],[11 12],[1 2]
998,['HONG' 'KONG' '1996-08-30'],[15 39 11],[13 21 11],[5 6 0]
999,"['Far' 'East' 'gold' 'traders' 'thumped' 'foreheads' 'in' 'frustration'
 'at' 'the' 'market' ""'s"" 'foot-dragging' 'this' 'week' 'and' 'forecast'
 'on' 'Friday' 'that' 'next' 'week' 'would' 'not' 'be' 'much' 'better' '.']","[22 22 21 24 38 24 15 21 15 12 21 27 21 12 21 10 38 15 22 43 16 21 20 30
 37 30 17  7]","[11 12 12 12 21 11 13 11 13 11 12 11 12 11 12  0 21 13 11 11 12 12 21 22
 22  1  2  0]",[5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1000,"['The' 'Southeast' 'Asian' 'gold' 'market' 'was' 'more' 'or' 'less' 'a'
 'photo-fit' 'picture' 'of' 'the' 'previous' 'week' ""'s"" 'position' 'with'
 'activity' 'slow' 'and' 'bullion' 'prices' 'trapped' 'in' 'a' 'well-worn'
 'range' 'awaiting' 'a' 'seasonal' 'upturn' 'in' 'demand' 'and' 'prices'
 'into' 'the' 'fourth' 'quarter' '.']","[12 22 22 21 21 38 17 10 31 12 16 21 15 12 16 21 27 21 15 21 37 10 21 24
 40 15 12 16 21 39 12 16 21 15 21 10 24 15 12 16 21  7]","[11 12 12 12 12 21  3  4  4 11 12 12 13 11 12 12 11 12 13 11 21  0 11 12
 21 13 11 12 12 21 11 12 12 13 11 12 12 13 11 12 12  0]","[0 7 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
1001,"['Singapore' 'premiums' 'for' 'Australian' 'kilo' 'bars' 'were' 'quoted'
 'unchanged' 'at' 'between' '25-45' 'cents' 'an' 'ounce' 'over' 'spot'
 'loco' 'London' 'prices' ',' 'with' 'South' 'Korean' 'and'
 'Indonesian-origin' 'premiums' 'also' 'steady' 'at' '10-20' 'cents' 'an'
 'ounce' '.']","[22 24 15 16 21 24 38 40 16 15 15 16 24 12 21 15 21 21 22 24  6 15 16 16
 10 22 24 30 16 15 11 24 12 21  7]","[11 12 13 11 12 12 21 22  1 13 11 12 12 11 12 13 11 12 12 12  0 13 11 12
 12 12 12  3 11 13 11 12 11 12  0]",[5 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 7 8 0 7 0 0 0 0 0 0 0 0 0]
1002,"['Singapore' 'dealers' 'said' 'they' 'were' 'concerned' 'that' 'there'
 'had' 'been' 'a' 'marked' 'revival' 'in' 'offers' 'to' 'sell' 'gold' 'by'
 'South' 'Korean' 'traders' ',' 'following' 'the' 'distress' 'sales' 'of'
 'recent' 'months' 'after' 'the' 'Seoul' 'government' ""'s"" 'crackdown'
 'on' 'bullion' 'arbitrage' 'trade' '.']","[22 24 38 28 38 40 15 13 38 40 12 16 21 15 24 35 37 21 15 16 16 24  6 39
 12 21 24 15 21 24 15 12 22 21 27 21 15 21 21 21  7]","[11 12 21 11 21  1 17 11 21 22 11 12 12 13 11 21 22 11 13 11 12 12  0 13
 11 12 12 13 11 12 13 11 12 12 11 12 13 11 12 12  0]","[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0
 0 0 0 0]"
1003,"['""' 'I' 'was' 'shocked' 'to' 'see' 'these' 'offers' 'coming' 'in' 'again'
 ',' 'though' 'there' ""'s"" 'been' 'no' 'indication' 'of' 'price' 'or'
 'volume' '.']",[ 0 28 38 40 35 37 12 24 39 15 30  6 15 13 42 40 12 21 15 21 10 21  7],[ 0 11 21 22 22 22 11 12 21 13  3  0 17 11 21 22 11 12 13 11 12 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1004,"['I' 'dread' 'to' 'think' 'what' 'will' 'happen' 'to' 'the' 'premiums'
 'if' 'the' 'Koreans' 'start' 'selling' 'in' 'force' ',' '""' 'one'
 'dealer' 'said' '.']",[28 21 35 37 44 20 37 35 12 24 15 12 23 41 39 15 21  6  0 11 21 38  7],[11 12 21 22 11 21 22 13 11 12 17 11 12 21 22 13 11  0  0 11 12 21  0],[0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0]
1005,"['Continued' 'dishoarding' 'of' 'kilo-bars' 'by' 'Indonesian' 'sources'
 'ahead' 'of' 'next' 'year' ""'s"" 'presidential' 'election' 'has' 'also'
 'kept' 'a' 'lid' 'on' 'premiums' '.']",[16 21 15 21 15 16 24 30 15 16 21 27 16 21 42 30 38 12 21 15 24  7],[11 12 13 11 13 11 12  3 13 11 12 11 12 12 21 22 22 11 12 13 11  0],[0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1006,"['Gold' 'closed' 'down' 'at' '$' '387.00' '/' '$' '387.50' 'an' 'ounce'
 'in' 'Hong' 'Kong' 'on' 'Friday' ',' 'versus' 'New' 'York' ""'s"" '$'
 '387.60' '/' '$' '388' 'finish' 'on' 'Thursday' '.']","[21 38 33 15  3 11 34  3 11 12 21 15 22 22 15 22  6 10 22 22 27  3 11 34
  3 11 21 15 22  7]","[11 21 15 13 11 12  0 11 12 11 12 13 11 12 13 11  0  0 11 12 12  1  0  0
 11 12 12 13 11  0]",[0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 0 0 5 6 0 0 0 0 0 0 0 0 0 0]
1007,"['Dealers' 'said' 'the' 'precious' 'metal' 'eased' 'on' 'a' 'report'
 'that' 'the' 'International' 'Monetary' 'Fund' 'might' 'sell' 'some' 'of'
 'its' 'gold' 'to' 'reduce' 'the' 'debts' 'of' 'the' 'poorest'
 'developing' 'countries' '.']","[24 38 12 16 21 40 15 12 21 15 12 22 22 22 20 37 12 15 29 21 35 37 12 24
 15 12 18 39 24  7]","[11 21 11 12 12 21 13 11 12 17 11 12 12 12 21 22 11 13 11 12 21 22 11 12
 13 11 12 12 12  0]",[0 0 0 0 0 0 0 0 0 0 0 3 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1008,"['Easier' 'silver' 'prices' 'mid-week' 'helped' 'keep' 'spot' 'gold'
 'locked' 'in' 'a' '$' '386' '-' '$' '389' 'an' 'ounce' 'range' ','
 'dealers' 'said' ',' 'but' 'they' 'remained' 'optimistic' 'that' 'the'
 'usual' 'seasonal' 'pick-up' 'in' 'jewellery' 'fabrication' 'demand'
 'would' 'see' 'gold' 'at' '$' '395' 'by' 'end-October' '.']","[16 21 24 21 38 37 21 21 40 15 12  3 11  8  3 11 12 21 21  6 24 38  6 10
 28 38 16 15 12 16 16 21 15 16 21 21 20 37 16 15  3 11 15 22  7]","[11 12 12 12 21 22 11 12 21 13 11 12 12 12 12 12 11 12 12  0 11 21  0  0
 11 21  1 17 11 12 12 12 13 11 12 12 21 22 11 13 11 12 13 11  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
1009,"['""' 'I' 'still' 'think' 'we' ""'ll"" 'see' 'gold' 'at' '$' '395' 'by' 'the'
 'end' 'of' 'October' ',' 'in' 'a' 'retracement' 'of' 'the' '$' '418' '-'
 '$' '380' 'move' 'we' 'saw' 'at' 'the' 'start' 'of' 'the' 'year' ',' '""'
 'one' 'said' '.']","[ 0 28 30 41 28 20 37 16 15  3 11 15 12 21 15 22  6 15 12 21 15 12  3 11
  8  3 11 21 28 38 15 12 21 15 12 21  6  0 11 38  7]","[ 0 11  3 21 11 21 22 11 13 11 12 13 11 12 13 11  0 13 11 12 13 11 12 12
 12 12 12 12 11 21 13 11 12 13 11 12  0  0 11 21  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
1010,"['Silver' ',' 'basis' 'the' 'September' 'contract' 'on' 'New' 'York' ""'s""
 'Comex' 'market' ',' 'was' 'expected' 'to' 'find' 'support' 'at'
 'between' '$' '5.12' '-' '$' '5.15' 'an' 'ounce' 'and' 'meet'
 'resistance' 'from' '$' '5.25' '-' '$' '5.30' ',' 'they' 'added' '.']","[21  6 41 12 22 21 15 22 22 27 22 21  6 38 40 35 37 21 15 15  3 11  8  3
 11 12 21 10 41 21 15  3 11  8  3 11  6 28 38  7]","[11  0 21 11 12 12 13 11 12 11 12 12  0 21 22 22 22 11 13 11 12 12 12 12
 12 11 12  0 21 11 13 11 12 12 12 12  0 11 21  0]","[0 0 0 0 0 0 0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
1011,"['September' 'silver' 'closed' 'up' '$' '0.004' 'in' 'New' 'York' 'on'
 'Thursday' 'at' '$' '5.255' 'an' 'ounce' '.']",[22 21 38 30  3 11 15 22 22 15 22 15  3 11 12 21  7],[11 12 21  3 11 12 13 11 12 13 11 13 11 12 11 12  0],[0 0 0 0 0 0 0 5 6 0 0 0 0 0 0 0 0]
1012,['Tripoli' 'decks' 'out' 'for' 'coup' 'celebrations' '.'],[22 24 15 15 21 24  7],[11 12 13 13 11 12  0],[5 0 0 0 0 0 0]
1013,['Mona' 'Eltahawy'],[22 24],[11 12],[1 2]
1014,['TRIPOLI' '1996-08-30'],[22 11],[11 12],[5 0]
1015,"['Libyans' 'are' 'dressing' 'up' 'their' 'capital' 'Tripoli' 'for'
 'celebrations' 'on' 'Sunday' 'of' 'the' '27th' 'anniversary' 'of' 'the'
 'coup' 'which' 'brought' 'Muammar' 'Gaddafi' 'to' 'power' '.']","[23 41 39 33 29 21 22 15 24 15 22 15 12 16 21 15 12 21 43 38 22 22 35 21
  7]","[11 21 11  0 11 12 12 13 11 13 11 13 11 12 12 13 11 12 11 21 11 12 13 11
  0]",[7 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0]
1016,"['Green' 'flags' 'and' 'banners' 'praise' 'the' '""' 'great' 'revolution'
 '""' 'and' 'promise' 'defiance' 'against' 'United' 'Nations' 'sanctions'
 'imposed' 'for' 'Libya' ""'s"" 'refusal' 'to' 'hand' 'over' 'for' 'trial'
 'two' 'suspects' 'wanted' 'in' 'connection' 'with' 'the' '1988' 'bombing'
 'of' 'a' 'Pan' 'Am' 'flight' 'over' 'Lockerbie' ',' 'Scotland' '.']","[22 24 10 24 41 12  0 16 21  0 10 37 21 15 22 22 42 40 15 22 27 21 35 21
 15 15 21 11 42 40 15 21 15 12 11 21 15 12 22 22 21 15 22  6 22  7]","[11 12 12 12 21 11  0 11 12  0  0 21 11 13 11 12 21 22 13 11 11 12 13 11
 13 13 11 11 21 22 13 11 13 11 12 12 13 11 12 12 12 13 11  0 11  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 3 4 0 0 5 0 5 0]"
1017,"['""' 'We' 'have' 'chosen' 'the' 'challenge' 'because' 'it' 'is' 'our'
 'only' 'option' ',' '""' 'proclaimed' 'one' 'banner' 'on' 'the' 'road'
 'to' 'Tripoli' 'airport' 'which' 'serves' 'only' 'internal' 'flights'
 'because' 'of' 'the' 'sanctions' '.']","[ 0 28 41 40 12 21 15 28 42 29 16 21  6  0 38 11 21 15 12 21 35 22 21 43
 42 30 16 24 15 15 12 24  7]","[ 0 11 21 22 11 12 17 11 21 11 12 12  0  0 21 11 12 13 11 12 13 11 12 11
 21 11 12 12 13 14 11 12  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0]
1018,"['Huge' 'stadium' 'lights' 'are' 'directed' 'at' 'the' 'city' ""'s"" 'Green'
 'Square' 'where' 'makeshift' 'stages' 'await' 'Sunday' ""'s"" 'festivities'
 '.']",[16 21 24 41 40 15 12 21 27 22 22 46 16 24 41 22 27 24  7],[11 12 12 21 22 13 11 12 11 12 12  3 11 12 21 11 11 12  0],[0 0 0 0 0 0 0 0 0 5 6 0 0 0 0 0 0 0 0]
1019,"['Three' 'African' 'leaders' '--' 'from' 'Niger' ',' 'Guinea' 'and'
 'Ghana' '--' 'are' 'expected' 'to' 'attend' 'the' 'celebrations'
 'marking' 'September' '1' ',' '1969' 'when' 'a' 'group' 'of' 'young'
 'army' 'officers' ',' 'led' 'by' 'a' '27-year-old' 'Gaddafi' ','
 'deposed' 'King' 'Mohammed' 'Idris' '.']","[11 16 24  8 15 22  6 22 10 22  8 41 40 35 37 12 24 39 22 11  6 11 46 12
 21 15 16 21 24  6 40 15 12 16 22  6 40 22 22 22  7]","[11 12 12  0 13 11 12 12  0 11  0 21 22 22 22 11 12 21 11 12 12 12  3 11
 12 13 11 12 12  0 21 13 11 12 12  0 21 11 12 12  0]","[0 7 0 0 0 5 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 1 2 0]"
1020,"['""' 'The' 'revolution' 'has' 'brought' 'us' 'great' 'achievements' '...']",[ 0 12 21 42 40 28 16 24  8],[ 0 11 12 21 22 11 11 12  0],[0 0 0 0 0 0 0 0 0]
1021,"['We' 'are' 'comfortable' 'the' 'revolution' 'has' 'taken' 'care' 'of'
 'us' ',' 'improved' 'our' 'lives' 'and' 'given' 'us' 'capabilites' ','
 '""' 'Samer' 'Ammar' 'Soliman' ',' '42' ',' 'told' 'Reuters' 'as' 'he'
 'came' 'out' 'of' 'Friday' 'prayers' '.']","[28 41 16 12 21 42 40 21 15 28  6 38 29 24 10 40 28 24  6  0 22 22 22  6
 11  6 38 22 15 28 38 15 15 22 24  7]","[11 21  1 11 12 21 22 11 13 11  0 21 11 12  0 21 11 12  0  0 11 12 12  0
 11  0 21 11 17 11 21 13 13 11 12  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 3 0 0 0 0 0 0 0 0]
1022,"['But' 'some' 'Libyans' 'have' 'begun' 'to' 'show' 'their' 'discontent'
 'in' 'the' 'country' ""'s"" 'east' ',' 'which' 'has' 'become' 'a' 'hotbed'
 'of' 'militant' 'violence' '.']",[10 12 23 41 40 35 37 29 21 15 12 21 27 16  6 43 42 40 12 21 15 16 21  7],[ 0 11 12 21 22 22 22 11 12 13 11 12 11 12  0 11 21 22 11 12 13 11 12  0],[0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1023,"['Tripoli-based' 'diplomats' 'and' 'exiled' 'opponents' 'said' 'Gaddafi'
 ""'s"" 'airforce' 'blasted' 'in' 'July' 'rebel' 'strongholds' 'in' 'the'
 'mountainous' 'Jebel' 'al-Akhdar' 'region' '.']",[16 24 10 38 24 38 22 27 21 38 15 22 21 24 15 12 16 22 21 21  7],[11 12  0 21 11 21 11 11 12 21 13 11 12 12 13 11 12 12 12 12  0],[7 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 6 0 0]
1024,"['Travellers' 'arriving' 'in' 'Egypt' 'say' 'militants' 'and' 'police'
 'officers' 'clash' 'regularly' 'in' 'Benghazi' '.']",[24 39 15 22 41 24 10 21 24 41 30 15 22  7],[11 21 13 11 21 11 12 12 12 21  3 13 11  0],[0 0 0 5 0 0 0 0 0 0 0 0 5 0]
1025,"['At' 'least' '20' 'people' 'were' 'killed' 'in' 'the' 'capital' 'in'
 'early' 'July' 'after' 'bodyguards' 'loyal' 'to' 'Gaddafi' ""'s"" 'sons'
 'fired' 'at' 'spectators' 'of' 'a' 'football' 'match' 'who' 'were'
 'chanting' 'subversive' 'slogans' '.']","[15 18 11 24 38 40 15 12 21 15 16 22 15 24 16 35 22 27 24 40 15 24 15 12
 21 21 44 38 39 16 24  7]","[11 12 12 12 21 22 13 11 12 13 11 12 13 11  1 13 11 11 12 21 13 11 13 11
 12 12 11 21 22 11 12  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1026,"['Gaddafi' 'has' 'dismissed' 'any' 'unrest' 'as' 'the' 'work' 'of'
 'foreigners' ',' 'and' 'last' 'year' 'deported' 'thousands' 'of'
 'Sudanese' 'and' 'Egyptian' 'workers' '.']",[22 42 40 12 21 15 12 21 15 24  6 10 16 21 38 24 15 22 10 22 24  7],[11 21 22 11 12 17 11 12 13 11  0  0 11 12 21 11 13 11  0 11 12  0],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 0 0]
1027,"['Twilight' 'zone' 'for' 'Wall' 'Street' 'as' 'political' 'race' 'heats'
 'up' '.']",[21 21 15 22 22 15 16 21 42 33  7],[11 12 13 11 12 13 11 12 21 15  0],[0 0 0 5 6 0 0 0 0 0 0]
1028,['Pierre' 'Belec'],[22 22],[11 12],[1 2]
1029,['NEW' 'YORK' '1996-08-30'],[22 22 11],[11 12 12],[5 6 0]
1030,"['For' 'Wall' 'Street' ',' 'this' 'is' 'the' 'season' 'to' 'be' 'cautious'
 'as' 'the' 'presidential' 'contest' 'puts' 'the' 'stock' 'market' 'in'
 'the' 'twilight' 'zone' '.']",[15 22 22  6 12 42 12 21 35 37 16 15 12 16 21 42 12 21 21 15 12 21 21  7],[13 11 12  0 11 21 11 12 21 22  1 13 11 12 12 21 11 12 12 13 11 12 12  0],[0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1031,"['President' 'Clinton' ',' 'Bob' 'Dole' 'and' 'Ross' 'Perot' 'are'
 'hitting' 'the' 'road' 'now' 'that' 'the' 'partying' 'is' 'over' ','
 'and' 'people' 'who' 'have' 'billions' 'of' 'dollars' 'invested' 'in'
 'stocks' 'were' 'bracing' 'for' 'political' 'promises' 'that' 'could'
 'have' 'an' 'impact' 'on' 'their' 'wealth' '.']","[22 22  6 22 22 10 22 22 41 39 12 21 30 15 12 39 42 30  6 10 24 44 41 24
 15 24 40 15 24 38 39 15 16 24 43 20 37 12 21 15 29 21  7]","[11 12  0 11 12 12 12 12 21 22 11 12  3 17 11 12 21  3  0  0 11 11 21 11
 13 11 21 13 11 21 22 13 11 12 11 21 22 11 12 13 11 12  0]","[0 1 0 1 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
1032,"['Analysts' 'believe' 'that' 'the' 'candidates' 'will' 'add' 'to' 'the'
 'market' ""'s"" 'list' 'of' 'uncertainties' ',' 'which' 'already'
 'includes' 'the' 'question' 'of' 'whether' 'the' 'Federal' 'Reserve'
 'will' 'raise' 'interest' 'rates' 'to' 'cool' 'economic' 'growth' '.']","[24 41 15 12 24 20 37 35 12 21 27 21 15 24  6 43 30 42 12 21 15 15 12 22
 22 20 37 21 24 35 37 16 21  7]","[11 21 17 11 12 21 22 13 11 12 11 12 13 11  0 11  3 21 11 12 13 17 11 12
 12 21 22 11 12 21 22 11 12  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0]
1033,"['They' 'say' 'the' 'politicians' 'will' 'need' 'to' 'promote'
 'legislation' 'that' 'helps' 'the' 'economy' 'without' 'scaring' 'the'
 'socks' 'off' 'financial' 'markets' '.']",[28 41 12 24 20 37 35 37 21 43 42 12 21 15 39 12 24 15 16 24  7],[11 21 11 12 21 22 22 22 11 11 21 11 12 13 21 11 12 13 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1034,"['""' 'The' 'worst' 'thing' 'that' 'could' 'happen' 'for' 'financial'
 'markets' 'is' 'that' 'if' 'Clinton' 'and' 'Dole' 'start' 'to' 'trade'
 'shots' 'in' 'the' 'middle' 'of' 'the' 'ring' 'with' 'one-upmanship' ','
 '""' 'said' 'Hugh' 'Johnson' ',' 'chief' 'investment' 'officer' 'at'
 'First' 'Albany' 'Corp.' '""' 'That' ""'s"" 'when' 'Wall' 'Street' 'will'
 'need' 'to' 'worry' '.' '""']","[ 0 12 18 21 43 20 37 15 16 24 42 15 15 22 10 22 21 35 37 24 15 12 21 15
 12 21 15 21  6  0 38 22 22  6 16 21 21 15 22 22 22  0 12 42 46 22 22 20
 37 35 37  7  0]","[ 0 11 12 12 11 21 22 13 11 12 21 17 17 11 12 12 12 21 22 11 13 11 12 13
 11 12 13 11  0  0 21 11 12  0 11 12 12 13 11 12 12  0 11 21  3 11 12 21
 22 22 22  0  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0
 0 3 4 4 0 0 0 0 5 6 0 0 0 0 0 0]"
1035,"['He' 'said' 'that' 'the' 'bond' 'market' 'would' 'be' 'the' 'first' 'to'
 'react' 'if' 'the' '""' 'bidding' '""' 'intensifies' 'and' 'stocks' 'would'
 'quickly' 'drop' 'as' 'interest' 'rates' 'rise' '.']","[28 38 15 12 21 21 20 37 12 16 35 37 15 12  0 21  0 24 10 24 20 30 37 15
 21 24 41  7]","[11 21 17 11 12 12 21 22 11 12 21 22 17 11  0 11  0 11 12 12 21 22 22 13
 11 12 21  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1036,"['""' 'I' 'do' ""n't"" 'think' 'it' 'would' 'imply' 'the' 'collapse' 'of'
 'the' 'stock' 'market' ',' 'unless' 'the' 'rise' 'in' 'rates' 'touches'
 'off' 'a' 'dynamic' 'within' 'the' 'market' ',' 'which' 'would' 'include'
 'selling' 'by' 'portfolio' 'managers' ',' 'redemptions' 'by'
 'individuals' 'of' 'mutual' 'funds' 'that' 'would' ',' 'in' 'turn' ','
 'pressure' 'the' 'portfolio' 'managers' 'to' 'sell' 'even' 'more' 'stock'
 '.' '""']","[ 0 28 41 30 37 28 20 37 12 21 15 12 21 21  6 15 12 21 15 24 24 15 12 21
 15 12 21  6 43 20 37 39 15 21 24  6 24 15 24 15 16 24 43 20  6 15 21  6
 41 12 21 24 35 37 30 31 21  7  0]","[ 0 11 21 22 22 11 21 22 11 12 13 11 12 12  0 17 11 12 13 11 12 13 11 12
 13 11 12  0 11 21 22 22 13 11 12  0 11 13 11 13 11 12 11 21  0 13 11  0
 21 11 12 12 21 22  3  4 11  0  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1037,"['This' 'week' ',' 'the' 'market' 'weighed' 'Dole' ""'s"" 'proposal' 'to'
 'lower' 'federal' 'income' 'taxes' 'by' '15' 'percent' 'across' 'the'
 'board' ',' 'a' 'package' 'that' 'carries' 'a' 'price' 'tag' 'of' '$'
 '548' 'billion' '.']","[12 21  6 12 21 38 22 27 21 35 17 16 21 24 15 11 21 15 12 21  6 12 21 43
 42 12 21 21 15  3 11 11  7]","[11 12  0 11 12 21 11 11 12 13 11 12 12 12 13 11 12 13 11 12  0 11 12 11
 21 11 12 12 13 11 12 12  0]",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1038,"['Clinton' 'proposes' 'an' '$' '8.4' 'billion' 're-election' 'agenda'
 'that' 'would' 'spare' 'most' 'home-sellers' 'from' 'capital' 'gains'
 'taxes' 'and' 'give' 'employers' 'tax' 'incentives' 'to' 'hire' 'people'
 'off' 'the' 'welfare' 'rolls' '.']","[22 42 12  3 11 11 21 21 43 20 37 32 21 15 21 24 24 10 37 24 21 24 35 37
 24 15 12 21 24  7]","[11 21 11 12 12 12 12 12 11 21 22  1 11 13 11 12 12  0 21 11 12 12 21 22
 11 13 11 12 12  0]",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1039,"['Clinton' 'claims' 'Dole' ""'s"" 'plan' 'would' 'increase' 'the' 'deficit'
 ',' 'while' 'the' 'White' 'House' 'said' 'some' 'corporate' 'taxes'
 'would' 'be' 'raised' 'to' 'offset' 'the' 'cost' 'of' 'the' 'president'
 ""'s"" 'plan' '.']","[22 42 22 27 21 20 37 12 21  6 15 12 22 22 38 12 16 24 20 37 40 35 37 12
 21 15 12 21 27 21  7]","[11 21 11 11 12 21 22 11 12  0 17 11 12 12 21 11 12 12 21 22 22 22 22 11
 12 13 11 12 11 12  0]",[1 0 1 0 0 0 0 0 0 0 0 0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1040,"['The' 'experts' 'said' 'there' 'are' 'some' 'unusual' 'risks' 'for' 'the'
 'market' 'from' 'this' 'year' ""'s"" 'political' 'season' 'because' 'the'
 'rush' 'to' 'promise' 'tax' 'cuts' 'to' 'win' 'votes' 'could' 'upset'
 'Wall' 'Street' ""'s"" 'expectations' 'that' 'Washington' 'will' 'balance'
 'the' 'budget' '.']","[12 24 38 13 41 12 16 24 15 12 21 15 12 21 27 16 21 15 12 21 35 37 21 24
 35 37 24 20 37 22 22 27 24 15 22 20 37 12 21  7]","[11 12 21 11 21 11 12 12 13 11 12 13 11 12 11 12 12 17 11 12 21 22 11 12
 21 22 11 21 22 11 12 11 12 17 11 21 22 11 12  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 0 5 0 0
 0 0 0]"
